date,amount,close,high,low,open,volume
2006-07-31,1846673451.0,1.14,1.18,1.05,1.12,93617254.0
2006-08-01,528773490.0,1.15,1.21,1.08,1.11,25865877.0
2006-08-02,456345122.0,1.2,1.23,1.14,1.14,21449920.0
2006-08-03,245761785.0,1.19,1.21,1.16,1.2,11632691.0
2006-08-04,314332907.0,1.22,1.24,1.17,1.19,14576344.0
2006-08-07,321071292.0,1.28,1.3,1.21,1.23,14323413.0
2006-08-08,220951074.0,1.29,1.32,1.26,1.28,9679870.0
2006-08-09,207184810.0,1.24,1.29,1.22,1.28,9328782.0
2006-08-10,187582267.0,1.25,1.26,1.21,1.23,8555872.0
2006-08-11,282284394.0,1.34,1.35,1.24,1.25,12181275.0
2006-08-14,269495630.0,1.34,1.38,1.31,1.36,11282717.0
2006-08-15,273770349.0,1.38,1.38,1.29,1.32,11575453.0
2006-08-16,185399650.0,1.36,1.39,1.35,1.38,7642225.0
2006-08-17,155574377.0,1.34,1.38,1.33,1.35,6462346.0
2006-08-18,113198276.0,1.33,1.36,1.32,1.34,4765777.0
2006-08-21,132309559.0,1.32,1.34,1.28,1.28,5687730.0
2006-08-22,89607216.0,1.32,1.35,1.31,1.32,3776118.0
2006-08-23,110003223.0,1.31,1.34,1.29,1.32,4716143.0
2006-08-24,153027192.0,1.36,1.37,1.31,1.31,6377857.0
2006-08-25,91328541.0,1.35,1.37,1.35,1.37,3786390.0
2006-08-28,245851927.0,1.49,1.49,1.35,1.36,9611396.0
2006-08-29,296459734.0,1.5,1.56,1.48,1.53,10993224.0
2006-08-30,284170112.0,1.63,1.65,1.48,1.49,10122071.0
2006-08-31,197908862.0,1.63,1.65,1.6,1.62,6868496.0
2006-09-01,260194248.0,1.63,1.74,1.62,1.63,8725988.0
2006-09-04,200658949.0,1.66,1.68,1.61,1.64,6911356.0
2006-09-05,198559690.0,1.62,1.71,1.61,1.65,6801913.0
2006-09-06,193934511.0,1.59,1.63,1.55,1.62,6910210.0
2006-09-07,113504041.0,1.61,1.62,1.58,1.59,3986985.0
2006-09-08,149630110.0,1.61,1.68,1.6,1.61,5120598.0
2006-09-11,131300049.0,1.62,1.64,1.56,1.63,4630661.0
2006-09-12,104334953.0,1.63,1.64,1.6,1.62,3626083.0
2006-09-13,94641762.0,1.58,1.64,1.57,1.63,3325057.0
2006-09-14,135815705.0,1.59,1.6,1.54,1.56,4887994.0
2006-09-15,95266407.0,1.6,1.61,1.57,1.59,3365652.0
2006-09-18,91568044.0,1.61,1.64,1.6,1.6,3189348.0
2006-09-19,107725480.0,1.58,1.61,1.58,1.61,3813322.0
2006-09-20,253955779.0,1.66,1.71,1.58,1.58,8643435.0
2006-09-22,118963691.0,1.66,1.69,1.63,1.68,4030055.0
2006-09-25,118034794.0,1.61,1.68,1.6,1.65,4053557.0
2006-09-26,172464203.0,1.54,1.61,1.52,1.6,6257932.0
2006-09-27,57882882.0,1.54,1.56,1.52,1.55,2123147.0
